orderID,uniqueID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,Freight,productID,unitPrice,quantity,discount,companyName,contactName,contactTitle,employeeslastName,employeesfirstName,employeestitle,productName,supplierID,categoryID,quantityPerUnit,unitPrice1,unitsInStock,unitsOnOrder,reorderLevel,discontinued,categoryName,supplierscompanyName,supplierscontactName,supplierscontactTitle
10248,1,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,3238,11,14,12,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Buchanan,Steven,Sales Manager,Queso Cabrales,5,4,1 kg pkg,21,22,30,30,0,Dairy Products,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator
10266,2,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3,2573,12,304,12,5,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Leverling,Janet,Sales Representative,Queso Manchego La Pastora,5,4,10 - 500 g pkgs,38,86,0,0,0,Dairy Products,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator
10258,3,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,14051,2,152,50,2,Ernst Handel,Roland Mendel,Sales Manager,Davolio,Nancy,Sales Representative,Chang,1,1,24 - 12 oz bottles,19,17,40,25,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager
10255,4,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,14833,2,152,20,0,Richter Supermarkt,Michael Holz,Sales Manager,Dodsworth,Anne,Sales Representative,Chang,1,1,24 - 12 oz bottles,19,17,40,25,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager
10264,5,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,367,2,152,35,0,Folk och fä HB,Maria Larsson,Owner,Suyama,Michael,Sales Representative,Chang,1,1,24 - 12 oz bottles,19,17,40,25,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager
10248,6,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,3238,72,348,5,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Buchanan,Steven,Sales Manager,Mozzarella di Giovanni,14,4,24 - 200 g pkgs,348,14,0,0,0,Dairy Products,Formaggi Fortini srl,Elio Rossi,Sales Representative
10274,7,VINET,6,1996-08-06,1996-09-03,1996-08-16,1,601,72,278,7,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Suyama,Michael,Sales Representative,Mozzarella di Giovanni,14,4,24 - 200 g pkgs,348,14,0,0,0,Dairy Products,Formaggi Fortini srl,Elio Rossi,Sales Representative
10268,8,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3,6629,72,278,4,0,GROSELLA-Restaurante,Manuel Pereira,Owner,Callahan,Laura,Inside Sales Coordinator,Mozzarella di Giovanni,14,4,24 - 200 g pkgs,348,14,0,0,0,Dairy Products,Formaggi Fortini srl,Elio Rossi,Sales Representative
10272,9,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,9803,72,278,24,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Suyama,Michael,Sales Representative,Mozzarella di Giovanni,14,4,24 - 200 g pkgs,348,14,0,0,0,Dairy Products,Formaggi Fortini srl,Elio Rossi,Sales Representative
10258,10,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,14051,5,17,65,2,Ernst Handel,Roland Mendel,Sales Manager,Davolio,Nancy,Sales Representative,Chef Anton's Gumbo Mix,2,2,36 boxes,2135,0,0,0,1,Condiments,New Orleans Cajun Delights,Shelley Burke,Order Administrator
